    -7.3827E-02     2.7577E-02
         0.9993     8.2909E-02  
     2.8758E-06         0.5731  
    -7.3827E-02    -2.7577E-02  
         0.9993    -8.2909E-02  
    -2.8757E-06         0.5731  
     6.1765E-02    -2.7518E-02  
         0.9992    -8.3041E-02  
     4.0486E-05         0.4039  
     6.1765E-02     2.7518E-02  
         0.9992     8.3041E-02  
    -4.0486E-05         0.4039  
    -7.3446E-02     2.7107E-02  
         0.8636     8.1940E-02  
    -1.4125E-04         0.5148  
    -7.3446E-02    -2.7107E-02  
         0.8636    -8.1940E-02  
     1.4125E-04         0.5148  
    -6.0125E-03    -2.7611E-02  
         0.8637    -8.0889E-02  
     2.8138E-05         0.4314  
    -6.0125E-03     2.7611E-02  
         0.8637     8.0889E-02  
    -2.8138E-05         0.4314  
     6.1319E-02    -2.7342E-02  
         0.8635    -8.0275E-02  
    -1.6069E-04         0.3497  
     6.1319E-02     2.7342E-02  
         0.8635     8.0275E-02  
     1.6069E-04         0.3497  
    -5.8848E-03     2.1315E-02  
         0.2649     6.3867E-02  
    -3.7690E-04         0.1819  
    -5.8848E-03    -2.1315E-02  
         0.2649    -6.3867E-02  
     3.7690E-04         0.1819  
    -6.0686E-02    -1.4492E-02  
         0.2651    -6.2827E-02  
     1.8516E-03         0.2544  
    -6.0686E-02     1.4492E-02  
         0.2651     6.2827E-02  
    -1.8516E-03         0.2544  
        -0.4038     2.8380E-02  
         0.8634     8.6471E-02  
    -8.8401E-06         0.9422  
        -0.4038    -2.8380E-02  
         0.8634    -8.6471E-02  
     8.8401E-06         0.9422  
        -0.4038    -2.8774E-02  
         0.9998    -8.6471E-02  
    -2.0481E-06          1.000  
        -0.4038     2.8774E-02  
         0.9998     8.6471E-02  
     2.0482E-06          1.000  
     6.0656E-02     5.7231E-02  
         0.8629         0.1646  
     8.5654E-05         0.3497  
    -7.2588E-02     5.3602E-02  
         0.8628         0.1629  
    -1.2857E-04         0.5110  
    -7.2588E-02    -5.3602E-02  
         0.8628        -0.1629  
     1.2857E-04         0.5110  
     6.0656E-02    -5.7231E-02  
         0.8629        -0.1646  
    -8.5654E-05         0.3497  
    -5.6779E-02     2.9922E-02  
         0.2635         0.1333  
    -3.2520E-03         0.2554  
     4.7868E-02     5.7185E-02  
         0.2632         0.1352  
     2.1454E-03         0.1094  
     4.7868E-02    -5.7185E-02  
         0.2632        -0.1352  
    -2.1454E-03         0.1094  
    -5.6779E-02    -2.9922E-02  
         0.2635        -0.1333  
     3.2520E-03         0.2554  
    -2.2302E-04     1.1375E-02  
     6.1090E-02     1.1432E-02  
    -7.0369E-04     3.3639E-02  
    -2.2302E-04    -1.1375E-02  
     6.1090E-02    -1.1432E-02  
     7.0369E-04     3.3639E-02  
    -2.4081E-02    -2.5729E-03  
     6.2858E-02    -1.3218E-02  
     2.8302E-03     3.8048E-02  
    -3.1822E-02    -1.4396E-02  
     6.1323E-02    -1.8974E-02  
     5.0594E-03     3.9234E-02  
     2.6505E-02    -3.9673E-02  
     6.0840E-02    -2.2371E-02  
    -2.8643E-03     2.9356E-02  
     2.6505E-02     3.9673E-02  
     6.0840E-02     2.2371E-02  
     2.8643E-03     2.9356E-02  
    -3.1822E-02     1.4396E-02  
     6.1323E-02     1.8974E-02  
    -5.0594E-03     3.9234E-02  
    -2.4081E-02     2.5729E-03  
     6.2858E-02     1.3218E-02  
    -2.8302E-03     3.8048E-02  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
              0              0  
