1,1, 1,1,  1.663975961538461e+02
1,2, 1,1,  7.512019230769229e+01
1,3, 1,1,  7.512019230769229e+01
2,1, 1,1,  1.046016826923077e+02
2,2, 1,1, -1.502403846153846e+01
2,3, 1,1,  7.512019230769229e+01
4,1, 1,1,  1.046016826923077e+02
4,2, 1,1,  7.512019230769229e+01
4,3, 1,1, -1.502403846153846e+01
5,1, 1,1,  4.507211538461536e+01
5,2, 1,1, -1.502403846153846e+01
5,3, 1,1, -1.502403846153846e+01
10,1, 1,1, -4.563870192307689e+01
10,2, 1,1,  1.502403846153846e+01
10,3, 1,1,  1.502403846153846e+01
11,1, 1,1, -1.051682692307692e+02
11,2, 1,1, -7.512019230769229e+01
11,3, 1,1,  1.502403846153846e+01
13,1, 1,1, -1.051682692307692e+02
13,2, 1,1,  1.502403846153846e+01
13,3, 1,1, -7.512019230769229e+01
14,1, 1,1, -1.646978365384615e+02
14,2, 1,1, -7.512019230769229e+01
14,3, 1,1, -7.512019230769229e+01
1,2, 1,2,  1.663975961538461e+02
1,3, 1,2,  7.512019230769229e+01
2,1, 1,2,  1.502403846153846e+01
2,2, 1,2, -4.563870192307689e+01
2,3, 1,2,  1.502403846153846e+01
4,1, 1,2,  7.512019230769229e+01
4,2, 1,2,  1.046016826923077e+02
4,3, 1,2, -1.502403846153846e+01
5,1, 1,2,  1.502403846153846e+01
5,2, 1,2, -1.051682692307692e+02
5,3, 1,2, -7.512019230769229e+01
10,1, 1,2, -1.502403846153846e+01
10,2, 1,2,  1.046016826923077e+02
10,3, 1,2,  7.512019230769229e+01
11,1, 1,2, -7.512019230769229e+01
11,2, 1,2, -1.051682692307692e+02
11,3, 1,2,  1.502403846153846e+01
13,1, 1,2, -1.502403846153846e+01
13,2, 1,2,  4.507211538461536e+01
13,3, 1,2, -1.502403846153846e+01
14,1, 1,2, -7.512019230769229e+01
14,2, 1,2, -1.646978365384615e+02
14,3, 1,2, -7.512019230769229e+01
1,3, 1,3,  1.663975961538461e+02
2,1, 1,3,  7.512019230769229e+01
2,2, 1,3, -1.502403846153846e+01
2,3, 1,3,  1.046016826923077e+02
4,1, 1,3,  1.502403846153846e+01
4,2, 1,3,  1.502403846153846e+01
4,3, 1,3, -4.563870192307689e+01
5,1, 1,3,  1.502403846153846e+01
5,2, 1,3, -7.512019230769229e+01
5,3, 1,3, -1.051682692307692e+02
10,1, 1,3, -1.502403846153846e+01
10,2, 1,3,  7.512019230769229e+01
10,3, 1,3,  1.046016826923077e+02
11,1, 1,3, -1.502403846153846e+01
11,2, 1,3, -1.502403846153846e+01
11,3, 1,3,  4.507211538461536e+01
13,1, 1,3, -7.512019230769229e+01
13,2, 1,3,  1.502403846153846e+01
13,3, 1,3, -1.051682692307692e+02
14,1, 1,3, -7.512019230769229e+01
14,2, 1,3, -7.512019230769229e+01
14,3, 1,3, -1.646978365384615e+02
2,1, 2,1,  3.327951923076922e+02
2,3, 2,1,  1.502403846153846e+02
3,1, 2,1,  1.046016826923077e+02
3,2, 2,1, -1.502403846153846e+01
3,3, 2,1,  7.512019230769229e+01
4,1, 2,1,  4.507211538461536e+01
4,2, 2,1,  1.502403846153846e+01
4,3, 2,1, -1.502403846153846e+01
5,1, 2,1,  2.092033653846154e+02
5,3, 2,1, -3.004807692307692e+01
6,1, 2,1,  4.507211538461536e+01
6,2, 2,1, -1.502403846153846e+01
6,3, 2,1, -1.502403846153846e+01
10,1, 2,1, -1.051682692307692e+02
10,2, 2,1,  7.512019230769229e+01
10,3, 2,1,  1.502403846153846e+01
11,1, 2,1, -9.127740384615379e+01
11,3, 2,1,  3.004807692307692e+01
12,1, 2,1, -1.051682692307692e+02
12,2, 2,1, -7.512019230769229e+01
12,3, 2,1,  1.502403846153846e+01
13,1, 2,1, -1.646978365384615e+02
13,2, 2,1,  7.512019230769229e+01
13,3, 2,1, -7.512019230769229e+01
14,1, 2,1, -2.103365384615384e+02
14,3, 2,1, -1.502403846153846e+02
15,1, 2,1, -1.646978365384615e+02
15,2, 2,1, -7.512019230769229e+01
15,3, 2,1, -7.512019230769229e+01
2,2, 2,2,  3.327951923076922e+02
3,1, 2,2,  1.502403846153846e+01
3,2, 2,2, -4.563870192307689e+01
3,3, 2,2,  1.502403846153846e+01
4,1, 2,2, -1.502403846153846e+01
4,2, 2,2, -1.051682692307692e+02
4,3, 2,2,  7.512019230769229e+01
5,2, 2,2,  2.092033653846154e+02
6,1, 2,2,  1.502403846153846e+01
6,2, 2,2, -1.051682692307692e+02
6,3, 2,2, -7.512019230769229e+01
10,1, 2,2,  7.512019230769229e+01
10,2, 2,2, -1.051682692307692e+02
10,3, 2,2, -1.502403846153846e+01
11,2, 2,2,  2.092033653846153e+02
12,1, 2,2, -7.512019230769229e+01
12,2, 2,2, -1.051682692307692e+02
12,3, 2,2,  1.502403846153846e+01
13,1, 2,2,  7.512019230769229e+01
13,2, 2,2, -1.646978365384615e+02
13,3, 2,2,  7.512019230769229e+01
14,2, 2,2,  9.014423076923072e+01
15,1, 2,2, -7.512019230769229e+01
15,2, 2,2, -1.646978365384615e+02
15,3, 2,2, -7.512019230769229e+01
2,3, 2,3,  3.327951923076922e+02
3,1, 2,3,  7.512019230769229e+01
3,2, 2,3, -1.502403846153846e+01
3,3, 2,3,  1.046016826923077e+02
4,1, 2,3,  1.502403846153846e+01
4,2, 2,3,  7.512019230769229e+01
4,3, 2,3, -1.051682692307692e+02
5,1, 2,3,  3.004807692307692e+01
5,3, 2,3, -9.127740384615379e+01
6,1, 2,3,  1.502403846153846e+01
6,2, 2,3, -7.512019230769229e+01
6,3, 2,3, -1.051682692307692e+02
10,1, 2,3, -1.502403846153846e+01
10,2, 2,3,  1.502403846153846e+01
10,3, 2,3,  4.507211538461536e+01
11,1, 2,3, -3.004807692307692e+01
11,3, 2,3,  2.092033653846153e+02
12,1, 2,3, -1.502403846153846e+01
12,2, 2,3, -1.502403846153846e+01
12,3, 2,3,  4.507211538461536e+01
13,1, 2,3, -7.512019230769229e+01
13,2, 2,3,  7.512019230769229e+01
13,3, 2,3, -1.646978365384615e+02
14,1, 2,3, -1.502403846153846e+02
14,3, 2,3, -2.103365384615384e+02
15,1, 2,3, -7.512019230769229e+01
15,2, 2,3, -7.512019230769229e+01
15,3, 2,3, -1.646978365384615e+02
3,1, 3,1,  1.663975961538461e+02
3,2, 3,1, -7.512019230769229e+01
3,3, 3,1,  7.512019230769229e+01
5,1, 3,1,  4.507211538461536e+01
5,2, 3,1,  1.502403846153846e+01
5,3, 3,1, -1.502403846153846e+01
6,1, 3,1,  1.046016826923077e+02
6,2, 3,1, -7.512019230769229e+01
6,3, 3,1, -1.502403846153846e+01
11,1, 3,1, -1.051682692307692e+02
11,2, 3,1,  7.512019230769229e+01
11,3, 3,1,  1.502403846153846e+01
12,1, 3,1, -4.563870192307689e+01
12,2, 3,1, -1.502403846153846e+01
12,3, 3,1,  1.502403846153846e+01
14,1, 3,1, -1.646978365384615e+02
14,2, 3,1,  7.512019230769229e+01
14,3, 3,1, -7.512019230769229e+01
15,1, 3,1, -1.051682692307692e+02
15,2, 3,1, -1.502403846153846e+01
15,3, 3,1, -7.512019230769229e+01
3,2, 3,2,  1.663975961538461e+02
3,3, 3,2, -7.512019230769229e+01
5,1, 3,2, -1.502403846153846e+01
5,2, 3,2, -1.051682692307692e+02
5,3, 3,2,  7.512019230769229e+01
6,1, 3,2, -7.512019230769229e+01
6,2, 3,2,  1.046016826923077e+02
6,3, 3,2,  1.502403846153846e+01
11,1, 3,2,  7.512019230769229e+01
11,2, 3,2, -1.051682692307692e+02
11,3, 3,2, -1.502403846153846e+01
12,1, 3,2,  1.502403846153846e+01
